alpha,total_fixed_points,stable_fixed_points,fixed_points,stable_points
1.0,1,1,"[(0.6823278038280212, 0.6823278038280182)]","[(0.6823278038280212, 0.6823278038280182)]"
1.1,1,1,"[(0.7226365710772693, 0.7226365710772699)]","[(0.7226365710772693, 0.7226365710772699)]"
1.2,1,1,"[(0.7603745901722987, 0.7603745901723005)]","[(0.7603745901722987, 0.7603745901723005)]"
1.3,1,1,"[(0.7958764594199971, 0.7958764594199931)]","[(0.7958764594199971, 0.7958764594199931)]"
1.4,1,1,"[(0.8294170130473842, 0.8294170130473837)]","[(0.8294170130473842, 0.8294170130473837)]"
1.5,1,1,"[(0.861224099739571, 0.8612240997395757)]","[(0.861224099739571, 0.8612240997395757)]"
1.6,1,1,"[(0.8914883399688796, 0.8914883399688868)]","[(0.8914883399688796, 0.8914883399688868)]"
1.7000000000000002,1,1,"[(0.920370598124578, 0.9203705981245767)]","[(0.920370598124578, 0.9203705981245767)]"
1.8,1,1,"[(0.9480077399790984, 0.9480077399790974)]","[(0.9480077399790984, 0.9480077399790974)]"
1.9,1,1,"[(0.9745171034975753, 0.974517103497557)]","[(0.9745171034975753, 0.974517103497557)]"
2.0,1,0,"[(1.0, 1.0)]",[]
2.1,3,2,"[(0.7298437881283638, 1.3701562118716344), (1.0245444797919365, 1.0245444797919339), (1.3701562118716364, 0.7298437881283618)]","[(0.7298437881283638, 1.3701562118716344), (1.3701562118716364, 0.7298437881283618)]"
2.2,3,2,"[(0.6417424305044097, 1.5582575694955931), (1.0482275355620088, 1.0482275355620068), (1.5582575694955798, 0.6417424305044185)]","[(0.6417424305044097, 1.5582575694955931), (1.5582575694955798, 0.6417424305044185)]"
2.3,3,2,"[(0.5821091654199693, 1.7178908345800323), (1.0711168724918174, 1.0711168724918092), (1.7178908345800297, 0.5821091654199714)]","[(0.5821091654199693, 1.7178908345800323), (1.7178908345800297, 0.5821091654199714)]"
2.4000000000000004,3,2,"[(0.5366750419289225, 1.8633249580710765), (1.0932723416689667, 1.0932723416689605), (1.8633249580710776, 0.5366750419289212)]","[(0.5366750419289225, 1.8633249580710765), (1.8633249580710776, 0.5366750419289212)]"
2.5,3,2,"[(0.5, 2.0), (1.1147471097045183, 1.1147471097045152), (2.0, 0.5)]","[(0.5, 2.0), (2.0, 0.5)]"
2.6,3,2,"[(0.4693376137081917, 2.130662386291809), (1.1355886200113554, 1.1355886200113512), (2.1306623862918093, 0.4693376137081919)]","[(0.4693376137081917, 2.130662386291809), (2.1306623862918093, 0.4693376137081919)]"
2.7,3,2,"[(0.443082142639147, 2.256917857360853), (1.1558393882667337, 1.1558393882667308), (2.256917857360853, 0.4430821426391472)]","[(0.443082142639147, 2.256917857360853), (2.256917857360853, 0.4430821426391472)]"
2.8,3,2,"[(0.42020410288672816, 2.379795897113272), (1.1755376649228135, 1.175537664922812), (2.3797958971132704, 0.420204102886729)]","[(0.42020410288672816, 2.379795897113272), (2.3797958971132704, 0.420204102886729)]"
2.9000000000000004,3,2,"[(0.3999999999999995, 2.500000000000001), (1.194717990359599, 1.194717990359598), (2.500000000000001, 0.3999999999999998)]","[(0.3999999999999995, 2.500000000000001), (2.500000000000001, 0.3999999999999998)]"
3.0,3,2,"[(0.3819660112501042, 2.6180339887498962), (1.2134116627622316, 1.2134116627622273), (2.618033988749895, 0.38196601125010515)]","[(0.3819660112501042, 2.6180339887498962), (2.618033988749895, 0.38196601125010515)]"
3.1,3,2,"[(0.36572807176730016, 2.734271928232699), (1.2316471345925966, 1.2316471345925935), (2.734271928232703, 0.36572807176729843)]","[(0.36572807176730016, 2.734271928232699), (2.734271928232703, 0.36572807176729843)]"
3.2,3,2,"[(0.3510004003203202, 2.84899959967968), (1.2494503502831673, 1.2494503502831678), (2.8489995996796798, 0.35100040032032037)]","[(0.3510004003203202, 2.84899959967968), (2.8489995996796798, 0.35100040032032037)]"
3.3000000000000003,3,2,"[(0.33755952515932997, 2.962440474840671), (1.2668450352675262, 1.2668450352675285), (2.9624404748406703, 0.33755952515933096)]","[(0.33755952515932997, 2.962440474840671), (2.9624404748406703, 0.33755952515933096)]"
3.4000000000000004,3,2,"[(0.32522729151324925, 3.0747727084867496), (1.2838529444999467, 1.2838529444999423), (3.0747727084867513, 0.3252272915132482)]","[(0.32522729151324925, 3.0747727084867496), (3.0747727084867513, 0.3252272915132482)]"
3.5,3,2,"[(0.3138593383654935, 3.186140661634506), (1.3004940770744595, 1.3004940770744648), (3.1861406616345063, 0.313859338365493)]","[(0.3138593383654935, 3.186140661634506), (3.1861406616345063, 0.313859338365493)]"
3.6,3,2,"[(0.30333704529042305, 3.296662954709577), (1.3167868623343981, 1.3167868623343975), (3.2966629547095767, 0.30333704529042343)]","[(0.30333704529042305, 3.296662954709577), (3.2966629547095767, 0.30333704529042343)]"
3.7,3,2,"[(0.29356175837266146, 3.406438241627339), (1.3327483218927498, 1.3327483218927485), (3.406438241627339, 0.2935617583726618)]","[(0.29356175837266146, 3.406438241627339), (3.406438241627339, 0.2935617583726618)]"
3.8000000000000003,3,2,"[(0.28445055785964674, 3.515549442140355), (1.3483942112071339, 1.3483942112071372), (3.5155494421403537, 0.28445055785964846)]","[(0.28445055785964674, 3.515549442140355), (3.5155494421403537, 0.28445055785964846)]"
3.9000000000000004,3,2,"[(0.27593309572167823, 3.624066904278323), (1.3637391437276092, 1.3637391437276107), (3.6240669042783225, 0.2759330957216791)]","[(0.27593309572167823, 3.624066904278323), (3.6240669042783225, 0.2759330957216791)]"
4.0,3,2,"[(0.2679491924311199, 3.732050807568883), (1.378796700129553, 1.3787967001295482), (3.732050807568879, 0.2679491924311225)]","[(0.2679491924311199, 3.732050807568883), (3.732050807568879, 0.2679491924311225)]"
4.1,3,2,"[(0.2604469831826734, 3.8395530168173244), (1.393579524732103, 1.393579524732101), (3.8395530168173275, 0.260446983182672)]","[(0.2604469831826734, 3.8395530168173244), (3.8395530168173275, 0.260446983182672)]"
4.2,3,2,"[(0.25338146873806144, 3.9466185312619384), (1.4080994108660128, 1.4080994108660134), (3.9466185312619393, 0.25338146873806117)]","[(0.25338146873806144, 3.9466185312619384), (3.9466185312619393, 0.25338146873806117)]"
4.300000000000001,3,2,"[(0.246713368932571, 4.05328663106743), (1.4223673766781966, 1.4223673766781988), (4.0532866310674285, 0.24671336893257192)]","[(0.246713368932571, 4.05328663106743), (4.0532866310674285, 0.24671336893257192)]"
4.4,3,2,"[(0.2404082057734564, 4.159591794226545), (1.4363937326321476, 1.4363937326321443), (4.159591794226543, 0.2404082057734575)]","[(0.2404082057734564, 4.159591794226545), (4.159591794226543, 0.2404082057734575)]"
4.5,3,2,"[(0.23443556292536327, 4.2655644370746355), (1.4501881417741997, 1.4501881417742004), (4.265564437074638, 0.2344355629253625)]","[(0.23443556292536327, 4.2655644370746355), (4.265564437074638, 0.2344355629253625)]"
4.6,3,2,"[(0.22876848227920088, 4.3712315177208), (1.4637596736782927, 1.4637596736782963), (4.3712315177207985, 0.22876848227920202)]","[(0.22876848227920088, 4.3712315177208), (4.3712315177207985, 0.22876848227920202)]"
4.7,3,2,"[(0.22338296818632658, 4.4766170318136735), (1.4771168528502505, 1.4771168528502536), (4.476617031813673, 0.22338296818632636)]","[(0.22338296818632658, 4.4766170318136735), (4.476617031813673, 0.22338296818632636)]"
4.800000000000001,3,2,"[(0.2182575770728581, 4.5817424229271415), (1.49026770226238, 1.4902677022623756), (4.581742422927144, 0.218257577072857)]","[(0.2182575770728581, 4.5817424229271415), (4.581742422927144, 0.218257577072857)]"
4.9,3,2,"[(0.21337307536549524, 4.686626924634506), (1.503219782596216, 1.5032197825962128), (4.6866269246345045, 0.21337307536549582)]","[(0.21337307536549524, 4.686626924634506), (4.6866269246345045, 0.21337307536549582)]"
5.0,3,2,"[(0.2087121525220785, 4.791287847477923), (1.51598022769282, 1.5159802276928214), (4.79128784747792, 0.20871215252207997)]","[(0.2087121525220785, 4.791287847477923), (4.79128784747792, 0.20871215252207997)]"
